# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.661e-4,0.51
9.543e-4,0.51
0.003,0.509
0.008,0.508
# Event LIFTOFF occurred at t=0.05 seconds
0.017,0.506
0.027,0.505
0.041,0.503
0.063,0.501
0.092,0.498
0.128,0.495
0.171,0.492
0.221,0.489
0.278,0.485
0.342,0.482
0.412,0.478
0.488,0.475
0.569,0.472
0.654,0.469
0.747,0.467
0.847,0.467
0.952,0.467
1.061,0.467
1.175,0.467
1.293,0.467
1.414,0.467
1.539,0.467
1.667,0.467
1.798,0.467
1.932,0.467
2.07,0.467
2.216,0.467
2.365,0.467
2.517,0.467
2.672,0.467
2.831,0.467
2.99,0.467
3.152,0.467
3.317,0.468
3.486,0.468
3.658,0.468
3.827,0.468
3.999,0.468
# Event LAUNCHROD occurred at t=0.43 seconds
4.174,0.468
4.444,0.468
4.88,0.468
5.575,0.468
6.599,0.468
7.812,0.469
9.137,0.469
10.599,0.47
11.839,0.47
13.55,0.471
15.179,0.471
16.862,0.472
18.844,0.472
20.84,0.473
23.008,0.474
25.289,0.474
27.736,0.475
30.331,0.476
33.081,0.477
36.027,0.478
39.173,0.479
42.477,0.48
45.911,0.481
49.487,0.482
53.151,0.483
56.936,0.484
60.809,0.485
64.746,0.486
68.799,0.487
73.036,0.489
77.42,0.49
82.175,0.491
87.137,0.493
92.193,0.494
97.571,0.496
102.697,0.497
108.078,0.499
113.587,0.5
118.899,0.502
124.297,0.503
130.05,0.505
136.082,0.507
142.21,0.508
147.519,0.51
152.589,0.511
157.859,0.513
163.892,0.514
170.23,0.516
176.985,0.518
183.833,0.52
188.91,0.521
193.951,0.522
200.469,0.524
207.227,0.526
214.364,0.528
221.635,0.53
228.082,0.532
233.633,0.533
240.421,0.535
247.794,0.537
255.324,0.539
262.891,0.541
270.048,0.543
277.761,0.545
285.56,0.547
293.676,0.549
301.804,0.551
309.798,0.553
317.752,0.555
325.923,0.557
333.848,0.559
342.046,0.561
350.399,0.564
358.781,0.566
367.637,0.568
376.376,0.57
384.778,0.573
393.316,0.575
402.576,0.578
412.434,0.582
421.844,0.585
430.94,0.588
439.778,0.591
447.116,0.593
452.858,0.593
457.778,0.593
461.977,0.593
465.668,0.593
468.843,0.594
471.757,0.594
474.505,0.594
476.57,0.594
478.072,0.594
479.341,0.594
479.865,0.594
479.613,0.594
478.362,0.594
476.31,0.594
473.249,0.594
469.009,0.594
463.725,0.594
458.041,0.594
452.334,0.593
# Event BURNOUT occurred at t=5.396 seconds
# Event EJECTION_CHARGE occurred at t=5.396 seconds
451.273,0.593
449.632,0.593
447.154,0.593
443.504,0.593
438.216,0.593
432.746,0.593
427.334,0.593
421.961,0.593
415.247,0.591
408.934,0.589
402.25,0.587
395.493,0.585
389.088,0.583
383.458,0.581
377.401,0.58
371.617,0.578
365.95,0.576
360.586,0.575
355.409,0.573
350.3,0.572
345.5,0.571
340.985,0.57
336.481,0.569
331.802,0.568
327.259,0.567
323.025,0.566
318.691,0.565
314.627,0.564
310.565,0.563
306.873,0.562
302.829,0.561
298.637,0.56
294.828,0.559
290.806,0.558
287.169,0.557
283.502,0.557
280.018,0.556
276.944,0.555
273.215,0.554
270.052,0.553
266.99,0.553
263.534,0.552
260.197,0.551
256.917,0.55
253.992,0.549
251.037,0.549
247.977,0.548
244.743,0.547
241.895,0.546
239.02,0.546
235.935,0.545
232.947,0.544
230.363,0.544
227.757,0.543
224.99,0.542
222.346,0.542
219.826,0.541
217.46,0.54
215.121,0.54
212.673,0.539
210.267,0.538
208.185,0.538
205.893,0.537
203.544,0.537
201.155,0.536
198.779,0.535
196.658,0.535
194.534,0.534
192.485,0.534
190.349,0.533
188.029,0.533
185.752,0.532
183.559,0.531
181.613,0.531
179.797,0.53
177.74,0.53
175.748,0.529
173.882,0.529
172.163,0.528
170.335,0.528
168.393,0.527
166.581,0.527
164.802,0.526
163.094,0.526
161.479,0.525
159.664,0.525
157.988,0.524
156.274,0.524
154.743,0.523
153.213,0.523
151.681,0.522
150.131,0.522
148.455,0.521
146.858,0.521
145.274,0.52
143.909,0.52
142.203,0.52
140.546,0.519
138.957,0.519
137.693,0.518
136.283,0.518
134.93,0.517
133.569,0.517
132.224,0.517
130.793,0.516
129.441,0.516
128.036,0.515
126.827,0.515
125.707,0.515
124.424,0.514
123.236,0.514
121.821,0.513
120.735,0.513
119.395,0.513
118.007,0.512
116.748,0.512
115.56,0.511
114.357,0.511
113.067,0.511
112.063,0.51
110.912,0.51
109.823,0.51
108.755,0.509
107.554,0.509
106.469,0.509
105.432,0.508
104.397,0.508
103.509,0.508
102.39,0.507
101.26,0.507
100.258,0.507
99.211,0.506
98.049,0.506
96.972,0.505
96.1,0.505
95.144,0.505
94.322,0.505
93.27,0.504
92.295,0.504
91.21,0.504
90.355,0.503
89.404,0.503
88.578,0.503
87.699,0.502
87.009,0.502
86.127,0.502
85.237,0.502
84.353,0.501
83.505,0.501
82.779,0.501
82.015,0.5
81.205,0.5
80.567,0.5
79.708,0.5
79.016,0.499
78.355,0.499
77.689,0.499
76.966,0.499
76.289,0.498
75.542,0.498
74.768,0.498
74.001,0.498
73.254,0.497
72.541,0.497
71.932,0.497
71.254,0.497
70.452,0.496
69.59,0.496
68.994,0.496
68.344,0.496
67.767,0.495
67.01,0.495
66.214,0.495
65.569,0.495
64.879,0.494
64.175,0.494
63.573,0.494
63.022,0.494
62.457,0.493
61.745,0.493
61.135,0.493
60.547,0.493
60.041,0.493
59.445,0.492
58.773,0.492
58.146,0.492
57.588,0.492
57.131,0.492
56.489,0.491
55.865,0.491
55.345,0.491
54.671,0.491
54.133,0.49
53.693,0.49
53.141,0.49
52.618,0.49
52.141,0.49
51.619,0.489
51.154,0.489
50.579,0.489
50.09,0.489
49.495,0.489
49.041,0.488
48.675,0.488
48.116,0.488
47.571,0.488
47.162,0.488
46.663,0.487
46.311,0.487
45.888,0.487
45.344,0.487
44.778,0.487
44.328,0.487
43.937,0.486
43.4,0.486
42.932,0.486
42.561,0.486
42.29,0.486
41.87,0.486
41.484,0.485
41.153,0.485
40.692,0.485
40.513,0.485
40.037,0.485
39.576,0.485
39.06,0.484
38.794,0.484
38.366,0.484
38.004,0.484
37.727,0.484
37.339,0.484
36.951,0.484
36.517,0.483
36.096,0.483
35.662,0.483
35.428,0.483
34.942,0.483
34.543,0.483
34.199,0.482
33.842,0.482
33.604,0.482
33.207,0.482
32.732,0.482
32.396,0.482
32.139,0.482
31.862,0.481
31.536,0.481
31.038,0.481
30.88,0.481
30.675,0.481
30.447,0.481
30.132,0.481
29.721,0.481
29.338,0.48
29.107,0.48
28.791,0.48
28.528,0.48
28.198,0.48
27.873,0.48
27.618,0.48
27.301,0.48
27.031,0.479
26.816,0.479
26.506,0.479
26.328,0.479
25.982,0.479
25.684,0.479
25.421,0.479
25.148,0.479
24.841,0.478
24.616,0.478
24.275,0.478
23.928,0.478
23.666,0.478
23.504,0.478
23.263,0.478
23.065,0.478
22.769,0.478
22.467,0.477
22.232,0.477
22.077,0.477
21.846,0.477
21.601,0.477
21.275,0.477
20.979,0.477
20.801,0.477
20.631,0.477
20.424,0.477
